Transaction ID,Customer ID,Purchase Date,Product Name,Product Category,Quantity,Purchase Amount,Age,Gender,City,State,Latitude,Longitude,Website Visits,Email Opens,Customer Satisfaction Score
TXN-11554,CUST-0115,2024-06-16,Hoodie,Apparel,1,61.63,35,Female,Seattle,WA,47.6062,-122.3321,82,31,5
TXN-14112,CUST-0024,2024-06-22,Sneakers,Apparel,1,117.92,23,Female,New York,NY,40.7128,-74.006,64,61,4
TXN-10363,CUST-0259,2024-07-01,Skincare Serum,Beauty & Health,1,70.29,41,Male,Los Angeles,CA,34.0522,-118.2437,94,60,5
TXN-12436,CUST-0202,2024-07-05,Multivitamins,Beauty & Health,1,26.25,40,Female,Houston,TX,29.7604,-95.3698,65,40,4
TXN-13694,CUST-0202,2024-07-08,Dior Perfume,Beauty & Health,2,200.22,40,Female,Houston,TX,29.7604,-95.3698,65,40,4
TXN-12386,CUST-0352,2024-07-20,Skincare Serum,Beauty & Health,1,63.42,39,Male,Orlando,FL,28.5383,-81.3792,60,39,4
TXN-12387,CUST-0352,2024-07-20,Dior Perfume,Beauty & Health,1,114.56,39,Male,Orlando,FL,28.5383,-81.3792,60,39,4
TXN-13987,CUST-0082,2024-07-20,Keyboard & Mouse,Electronics,3,263.99,32,Male,Seattle,WA,47.6062,-122.3321,119,83,5
TXN-11058,CUST-0357,2024-07-25,Smartwatch,Electronics,1,268.96,26,Male,Chicago,IL,41.8781,-87.6298,52,52,5
TXN-13284,CUST-0222,2024-07-27,Robot Vacuum,Home & Kitchen,1,309.37,50,Male,Chicago,IL,41.8781,-87.6298,30,55,4
TXN-12920,CUST-0265,2024-07-28,Dior Perfume,Beauty & Health,2,222.73,36,Female,New York,NY,40.7128,-74.006,28,18,5
TXN-13868,CUST-0087,2024-07-28,Smartphone,Electronics,1,765.42,66,Male,Chicago,IL,41.8781,-87.6298,48,16,5
TXN-12393,CUST-0316,2024-07-29,Laptop,Electronics,1,1163.65,31,Female,Seattle,WA,47.6062,-122.3321,47,52,3
TXN-12854,CUST-0291,2024-07-31,Headphones,Electronics,1,144.21,34,Female,Boston,MA,42.3601,-71.0589,61,35,4
TXN-11339,CUST-0099,2024-08-08,Designer Jacket,Apparel,1,186.89,30,Female,Boston,MA,42.3601,-71.0589,41,23,4
TXN-13437,CUST-0186,2024-08-09,SaaS Marketing Playbook,Books,1,22.67,37,Female,San Francisco,CA,37.7749,-122.4194,55,38,4
TXN-13567,CUST-0359,2024-08-09,Sunglasses,Apparel,1,146.74,33,Female,Houston,TX,29.7604,-95.3698,55,31,5
TXN-10882,CUST-0087,2024-08-14,Electric Toothbrush,Beauty & Health,1,84.23,66,Male,Chicago,IL,41.8781,-87.6298,48,16,5
TXN-11473,CUST-0418,2024-08-16,Smartphone,Electronics,1,900.6,18,Female,Boston,MA,42.3601,-71.0589,112,73,4
TXN-10477,CUST-0099,2024-08-17,Sports T-Shirt,Apparel,1,36.71,30,Female,Boston,MA,42.3601,-71.0589,41,23,4
TXN-11673,CUST-0148,2024-08-19,Self-Improvement Guide,Books,2,36.3,54,Female,Orlando,FL,28.5383,-81.3792,109,59,4
TXN-12698,CUST-0359,2024-08-20,Hair Dryer,Beauty & Health,1,97.06,33,Female,Houston,TX,29.7604,-95.3698,55,31,5
TXN-13030,CUST-0186,2024-08-22,Laptop,Electronics,1,1171.53,37,Female,San Francisco,CA,37.7749,-122.4194,55,38,4
TXN-11088,CUST-0466,2024-08-24,Self-Improvement Guide,Books,2,36.07,27,Female,Boston,MA,42.3601,-71.0589,47,45,4
TXN-10218,CUST-0082,2024-08-25,Laptop,Electronics,2,2602.27,32,Male,Seattle,WA,47.6062,-122.3321,119,83,5
TXN-13134,CUST-0316,2024-08-25,Leadership Biography,Books,1,31.36,31,Female,Seattle,WA,47.6062,-122.3321,47,52,3
TXN-12904,CUST-0024,2024-08-28,Keyboard & Mouse,Electronics,2,165.56,23,Female,New York,NY,40.7128,-74.006,64,61,4
TXN-13483,CUST-0462,2024-08-28,Chef Knife Set,Home & Kitchen,2,299.22,32,Male,Chicago,IL,41.8781,-87.6298,106,33,5
TXN-10462,CUST-0139,2024-08-31,Headphones,Electronics,2,287.21,34,Female,New York,NY,40.7128,-74.006,73,31,5
TXN-11348,CUST-0024,2024-08-31,Laptop,Electronics,1,1303.94,23,Female,New York,NY,40.7128,-74.006,64,61,4
TXN-13224,CUST-0497,2024-09-01,Multivitamins,Beauty & Health,1,23.83,24,Male,Chicago,IL,41.8781,-87.6298,62,80,5
TXN-10637,CUST-0094,2024-09-06,Designer Jacket,Apparel,1,176.37,22,Female,Orlando,FL,28.5383,-81.3792,27,45,4
